doi
10.7759/cureus.103950
10.7759/cureus.103212
10.7759/cureus.102567
10.1097/ms9.0000000000004567
10.1093/g3journal/jkag029
10.1007/s10143-026-04164-6
10.2807/1560-7917.es.2026.31.2.2500993
10.1530/ec-25-0723
10.1038/s41598-025-34750-5
10.1016/j.pestbp.2025.106876
10.1016/j.eclinm.2025.103681
10.1159/000550176
10.1039/d5ra07844j
10.1371/journal.pone.0338701
10.1371/journal.pone.0334618
10.1038/s41598-025-28540-2
10.1371/journal.pone.0336582
10.1038/s41598-025-26506-y
10.1038/s41598-025-24753-7
10.1016/j.parint.2025.103198
10.1007/s11033-025-11263-y
10.1097/md.0000000000045098
10.1007/s11882-025-01235-4
10.1038/s41598-025-24662-9
10.1126/science.adw9456
10.1136/bmj-2024-083382
10.1159/000549516
10.1039/d5sc06542a
10.12659/msm.949151
10.1002/jlcr.4169
10.1007/s00059-025-05352-8
10.1093/plcell/koaf268
10.1371/journal.pone.0336241
10.1159/000549037
10.1016/j.actpsy.2025.105884
10.1021/acs.jcim.5c02138
10.1371/journal.pone.0335722
10.1007/5584_2025_880
10.1016/j.clbc.2025.09.010
10.1016/j.bbrc.2025.152800
10.1159/000549289
10.1159/000549272
10.1038/s41598-025-21244-7
10.7759/cureus.93004
10.3389/fpsyg.2025.1675490
10.1017/s0007485325100564
10.25259/sni_118_2025
10.7759/cureus.92630
10.1111/dom.70201
10.14309/ctg.0000000000000937
10.7759/cureus.92264
10.31083/rcm44024
10.1080/17483107.2025.2572532
10.1080/17483107.2025.2568164
10.1080/17483107.2025.2570890
10.1080/17483107.2025.2570889
10.7759/cureus.91873
10.1080/17483107.2025.2573221
10.1093/ntr/ntaf189
10.1080/17483107.2025.2564371
10.1080/17483107.2025.2568945
10.1080/17483107.2025.2569801
10.1080/17483107.2025.2568940
10.1097/gox.0000000000007200
10.7759/cureus.91396
10.1016/j.watres.2025.124675
10.1371/journal.pone.0332120
10.1080/17483107.2025.2565405
10.71150/jm.2509100
10.1038/s41598-025-19006-6
10.1080/17483107.2025.2561926
10.7759/cureus.91049
10.1080/17483107.2025.2566379
10.1080/17483107.2025.2564370
10.3390/jpm15090432
10.1121/10.0039380
10.1002/advs.202503897
10.1080/17483107.2025.2562454
10.2147/ijwh.s542758
10.1016/j.plaphy.2025.110410
10.1007/s00134-025-08130-6
10.1080/17483107.2025.2561927
10.1093/eurheartjsupp/suaf043
10.1080/17483107.2025.2561247
10.1080/17483107.2025.2559187
10.1080/17483107.2025.2561248
10.1016/j.clgc.2025.102422
10.1080/17483107.2025.2554956
10.2196/77014
10.1007/s00132-025-04724-6
10.7759/cureus.90049
10.1007/s00586-025-09374-y
10.1080/17483107.2025.2560673
10.1167/tvst.14.9.18
10.1108/jhom-03-2024-0128
10.2147/ijgm.s542782
10.1002/npr2.70050
10.1080/17483107.2025.2556025
10.1371/journal.pone.0319840
10.1080/17483107.2025.2554955
10.1002/jca.70055
10.1080/17483107.2025.2555541
10.1080/17483107.2025.2551708
10.1016/s1470-2045(25)00408-5
10.7759/cureus.91181
10.1080/17483107.2025.2554331
10.1186/s12879-025-11497-y
10.1016/j.envres.2025.122704
10.1142/s0192415x25500831
10.1093/bfgp/elaf009
10.1038/s41598-025-16884-8
10.1016/j.jtumed.2025.07.012
10.1002/bcp.70249
10.1038/s41598-025-17166-z
10.1016/j.ecoenv.2025.118786
10.1080/17483107.2025.2549898
10.1038/s41598-025-14640-6
10.1080/17483107.2025.2548858
10.1097/ta.0000000000004762
10.1007/s00345-025-05879-9
10.1080/17483107.2025.2546026
10.1111/jocd.70291
10.3389/fendo.2025.1639261
10.1038/s41598-025-14123-8
10.1016/j.envres.2025.122556
10.1371/journal.pone.0328913
10.3233/shti251368
10.3389/fimmu.2025.1630015
10.1016/j.ecoenv.2025.118575
10.1016/j.redox.2025.103806
10.1371/journal.pone.0328347
10.1016/j.scitotenv.2025.180134
10.37349/etat.2025.1002332
10.1364/ol.564000
10.1080/17483107.2025.2540494
10.3389/fonc.2025.1651340
10.1016/j.ejogrb.2025.114615
10.1016/j.ijregi.2025.100692
10.1097/md.0000000000041991
10.1097/md.0000000000043626
10.3390/healthcare13141747
10.1097/jnr.0000000000000696
10.1016/j.fochx.2025.102786
10.1016/j.enzmictec.2025.110724
10.1007/s00381-025-06905-2
10.1167/tvst.14.7.20
10.3389/fendo.2025.1634580
10.1093/ehjdh/ztaf044
10.1016/j.jcpo.2025.100615
10.1371/journal.pone.0328050
10.7759/cureus.86252
10.3389/fmed.2025.1630824
10.1093/jbcr/iraf091
10.1080/09603123.2025.2534420
10.1016/j.jen.2025.06.004
10.1080/17483107.2025.2536173
10.1053/j.semnuclmed.2025.06.005
10.1016/j.idcr.2025.e02278
10.7759/cureus.86035
10.7759/cureus.86034
10.15326/jcopdf.2024.0591
10.1097/ede.0000000000001897
10.1016/j.annepidem.2025.09.002
10.1038/s41598-025-06229-w
10.1038/s41598-025-09522-w
10.4274/tjh.galenos.2025.2025.0189
10.1080/01635581.2025.2497095
10.1016/j.envres.2025.122318
10.1021/acs.langmuir.5c01641
10.1371/journal.pone.0324738
10.1080/17483107.2025.2525539
10.1080/17483107.2025.2527226
10.1186/s12917-025-04897-4
10.1002/cbdv.202500613
10.1038/s41598-025-08347-x
10.1016/j.ijpx.2025.100319
10.1177/03915603251344500
10.1021/acsabm.5c00978
10.1159/000546362
10.1016/j.ijbiomac.2025.145680
10.1038/s41598-025-08382-8
10.1038/s41598-025-04072-7
10.1038/s41598-025-06808-x
10.1038/s41598-025-05917-x
10.1371/journal.pone.0326744
10.1001/jamaneurol.2025.2148
10.7759/cureus.85054
10.1016/j.forsciint.2025.112546
10.1371/journal.pone.0327255
10.2147/dddt.s514091
10.1093/brain/awaf232
10.1016/j.ijbiomac.2025.145351
10.1097/js9.0000000000002747
10.1002/fsn3.70424
10.1016/j.lfs.2025.123819
10.1213/ane.0000000000007570
10.2147/prbm.s508557
10.1016/j.ijregi.2025.100665
10.1016/j.ijbiomac.2025.145377
10.1016/j.slast.2025.100318
10.1016/j.ijbiomac.2025.145283
10.1007/s11695-025-07998-z
10.1039/d5mh00401b
10.3389/fnins.2025.1608722
10.2174/0109298673374398250523073407
10.1002/fsn3.70390
10.1016/j.humpath.2025.105854
10.1007/s11011-025-01646-2
10.1007/s00345-025-05741-y
10.1016/j.accpm.2025.101528
10.4103/njms.njms_16_24
10.3389/fendo.2025.1606753
10.1016/j.lfs.2025.123799
10.1177/23779608251349403
10.1016/j.jinf.2025.106530
10.7759/cureus.83757
10.1016/j.aca.2025.344247
10.1177/13860291251345956
10.7759/cureus.84630
10.1371/journal.pone.0323054
10.1371/journal.pone.0322659
10.1371/journal.pone.0322396
10.1177/13860291251324086
10.1016/j.dld.2025.05.016
10.1016/j.ecoenv.2025.118382
10.1016/j.jtho.2025.05.013
10.7759/cureus.83743
10.1177/13860291241291331
10.1177/13860291251313579
10.2147/prbm.s510544
10.2147/ijgm.s523428
10.31662/jmaj.2024-0437
10.1038/s41541-025-01145-6
10.1016/j.ijbiomac.2025.144429
10.1038/s41598-025-00873-y
10.1136/bmjopen-2024-093113
10.1016/j.ijbiomac.2025.144457
10.1016/j.saa.2025.126423
10.1007/s10620-025-09054-3
10.1016/j.jcis.2025.137901
10.1136/bjsports-2024-109541
10.1016/j.urology.2025.05.017
10.1016/j.jenvman.2025.125840
10.1007/s12029-025-01238-4
10.1016/j.fitote.2025.106621
10.1016/j.clindermatol.2025.05.011
10.1371/journal.pone.0323840
10.1111/jcmm.70569
10.3389/fnins.2025.1488682
10.1186/s41065-025-00443-2
10.1016/j.cellsig.2025.111860
10.1016/j.urology.2025.05.003
10.1371/journal.pone.0321364
10.1021/jacs.4c18303
10.1371/journal.pone.0321032
10.1038/s41598-025-00222-z
10.1111/jsap.13880
10.1016/j.vaccine.2025.127182
10.1016/j.gerinurse.2025.04.003
10.1016/j.jbspin.2025.105915
10.1016/j.ejogrb.2025.114023
10.1021/acs.biomac.5c00266
10.1016/j.lungcan.2025.108559
10.1177/03000605251335836
10.1016/j.ijgc.2025.101828
10.1097/md.0000000000042006
10.1177/13860291241306566
10.1016/s0140-6736(25)00489-1
10.1016/j.ijcard.2025.133309
10.1371/journal.pone.0320979
10.1186/s13018-025-05600-x
10.1038/s41564-025-01991-z
10.1186/s12894-025-01725-7
10.1371/journal.pone.0321697
10.1007/s00210-025-04119-6
10.1097/md.0000000000042164
10.1177/13860291251320332
10.1038/s41388-025-03410-3
10.1038/s41598-025-97800-y
10.1038/s41564-025-01985-x
10.1016/j.neurol.2025.01.160
10.1016/j.bcp.2025.116949
10.1002/anie.202502068
10.1038/s41598-025-97740-7
10.1038/s41598-025-97826-2
10.1016/j.slast.2025.100289
10.1093/bib/bbaf149
10.1016/j.eurox.2025.100381
10.1016/j.virs.2025.04.002
10.1016/j.actatropica.2025.107612
10.1016/j.chemosphere.2025.144353
10.1093/jsxmed/qdaf056
10.7759/cureus.80129
10.7759/cureus.80817
10.1007/s00261-025-04900-4
10.1038/s41598-025-96274-2
10.1097/md.0000000000041172
10.1080/1354750x.2025.2489453
10.1002/jcsm.13779
10.1038/s41598-025-95865-3
10.1093/postmj/qgaf048
10.1371/journal.pone.0319773
10.2174/0115701638319534250314075737
10.1038/s41598-025-87556-w
10.1371/journal.pone.0320595
10.1016/j.ijbiomac.2025.142612
10.1016/j.foodchem.2025.144007
10.1007/s12032-025-02700-w
10.1002/lary.32128
10.1002/jbio.70016
10.1186/s12943-025-02300-2
10.1016/j.slast.2025.100273
10.1016/j.ijpharm.2025.125475
10.1038/s41598-025-94968-1
10.1016/j.foodchem.2025.143902
10.1186/s12934-025-02672-6
10.1038/s41598-025-92751-w
10.1016/j.ijbiomac.2025.142328
10.1093/eurjpc/zwaf070
10.1016/j.ijbiomac.2025.142232
10.1111/xen.70031
10.1111/ans.70096
10.1016/j.ctarc.2025.100873
10.1097/md.0000000000041786
10.1371/journal.pone.0319898
10.1007/s11250-025-04376-w
10.3390/s25051339
10.1016/j.amjmed.2025.03.011
10.1111/tpj.70107
10.1021/acs.inorgchem.5c00134
10.3390/ani15050664
10.1007/s00280-025-04749-w
